player_id,game_month,attempts,made_shots,actual_fg_pct,expected_fg_pct,actual_points,expected_points,points_above_expected,points_above_expected_per_100_shots,avg_expected_shot_value,avg_shot_value
2544,2025-03,99,43,0.43434343434343436,0.5114085298186931,91.0,109.22678495726358,-18.226784957263582,-18.41089389622584,1.1033008581541774,2.2222222222222223
2544,2025-04,98,53,0.5408163265306123,0.5039694867195392,118.0,109.93214132397169,8.067858676028315,8.232508853090117,1.1217565441221602,2.306122448979592
101108,2025-03,59,28,0.4745762711864407,0.40539137244509227,73.0,61.5982526214013,11.4017473785987,19.32499555694695,1.0440381800237508,2.6271186440677967
101108,2025-04,70,31,0.44285714285714284,0.39412644139038383,73.0,67.49502699408524,5.504973005914763,7.864247151306804,0.9642146713440748,2.5
200768,2025-04,6,2,0.3333333333333333,0.31027450969131737,5.0,5.188076729773885,-0.188076729773885,-3.1346121628980836,0.8646794549623141,2.8333333333333335
200782,2025-04,7,3,0.42857142857142855,0.31797664188642977,9.0,6.297512583623778,2.7024874163762225,38.60696309108889,0.8996446548033968,2.857142857142857
201142,2025-03,150,77,0.5133333333333333,0.4441202117310661,182.0,153.4714848312795,28.528515168720507,19.019010112480338,1.0231432322085299,2.3466666666666667
201143,2025-03,59,26,0.4406779661016949,0.4204288725263435,65.0,64.13142887747306,0.8685711225269412,1.4721544449609174,1.086973370804628,2.6610169491525424
201143,2025-04,27,12,0.4444444444444444,0.4282614681352024,31.0,29.46720541121276,1.5327945887872392,5.677016995508293,1.0913779781930653,2.6296296296296298
201144,2025-03,42,24,0.5714285714285714,0.43133308479348254,63.0,45.485339074148506,17.514660925851494,41.70157363297975,1.0829842636702025,2.5952380952380953
201144,2025-04,43,13,0.3023255813953488,0.413655069116459,34.0,46.05453833955726,-12.05453833955726,-28.033810091993626,1.0710357753385409,2.6511627906976742
201145,2025-03,4,3,0.75,0.4591947252694073,8.0,4.427626840293499,3.572373159706501,89.30932899266253,1.1069067100733747,2.5
201145,2025-04,24,11,0.4583333333333333,0.39327669638878193,29.0,25.664898836036823,3.3351011639631776,13.896254849846573,1.0693707848348677,2.7916666666666665
201566,2025-03,124,49,0.3951612903225806,0.4713649512179717,113.0,134.11433810661396,-21.11433810661396,-17.02769202146287,1.0815672427952738,2.370967741935484
201566,2025-04,84,34,0.40476190476190477,0.44921085470082306,74.0,85.6262698692075,-11.6262698692075,-13.84079746334226,1.0193603555858037,2.3333333333333335
201572,2025-03,86,51,0.5930232558139535,0.4599871245699244,114.0,90.74209007084495,23.257909929155044,27.04408131297098,1.0551405822191273,2.372093023255814
201572,2025-04,76,42,0.5526315789473685,0.5159008584690065,95.0,88.92855347962077,6.07144652037922,7.988745421551605,1.1701125457844839,2.3684210526315788
201587,2025-03,23,13,0.5652173913043478,0.415762921362339,37.0,25.90481849793546,11.095181502064541,48.23991957419366,1.1262964564319764,2.8260869565217392
201587,2025-04,18,11,0.6111111111111112,0.3537896580449633,32.0,18.72103646619116,13.278963533808843,73.77201963227135,1.0400575814550643,2.9444444444444446
201599,2025-03,19,14,0.7368421052631579,0.6947513912955496,28.0,26.400552869230886,1.5994471307691118,8.41814279352164,1.3895027825910993,2.0
201599,2025-04,15,8,0.5333333333333333,0.595528061204418,16.0,17.865841836132546,-1.8658418361325448,-12.438945574216966,1.1910561224088363,2.0
201935,2025-03,138,63,0.45652173913043476,0.4482936113645962,156.0,151.33843409781022,4.6615659021897775,3.3779463059346213,1.0966553195493494,2.536231884057971
201935,2025-04,117,60,0.5128205128205128,0.44457108371218085,138.0,120.37084719132496,17.629152808675038,15.067651973226528,1.0288106597549143,2.3846153846153846
201939,2025-03,89,35,0.39325842696629215,0.40602114936358374,89.0,92.51013238388163,-3.5101323838816247,-3.943968970653511,1.0394396897065352,2.640449438202247
201939,2025-04,161,77,0.4782608695652174,0.409251829383865,195.0,166.32241669358135,28.677583306418658,17.812163544359414,1.0330584887800083,2.6024844720496896
201942,2025-03,188,89,0.4734042553191489,0.4246830560912258,193.0,175.653980897558,17.346019102441982,9.226605905554246,0.9343296856253085,2.2393617021276597
201942,2025-04,135,58,0.42962962962962964,0.44765611797218285,122.0,130.85746281750454,-8.857462817504539,-6.56108356852188,0.9693145393889225,2.2222222222222223
201950,2025-03,90,44,0.4888888888888889,0.44731878224108057,106.0,96.29510665920499,9.704893340795008,10.783214823105565,1.069945629546722,2.466666666666667
201950,2025-04,31,12,0.3870967741935484,0.4706650492213382,29.0,33.64091411054286,-4.640914110542859,-14.970690679170511,1.0851907777594472,2.3870967741935485
201959,2025-03,8,5,0.625,0.5993312504032325,10.0,9.58930000645172,0.41069999354827913,5.133749919353489,1.198662500806465,2.0
201959,2025-04,17,8,0.47058823529411764,0.5810109075655037,16.0,19.754370857227123,-3.7543708572271237,-22.0845344542772,1.1620218151310073,2.0
201988,2025-03,5,4,0.8,0.33997653641231496,12.0,5.099648046184726,6.900351953815275,138.00703907630552,1.0199296092369452,3.0
201988,2025-04,6,3,0.5,0.35071944452561726,8.0,5.473046723166904,2.526953276833096,42.11588794721826,0.9121744538611507,2.6666666666666665
202066,2025-03,17,3,0.17647058823529413,0.39900262655159047,8.0,16.82678161975369,-8.826781619753689,-51.92224482208052,0.9898106835149229,2.5294117647058822
202066,2025-04,18,9,0.5,0.5311624116960576,19.0,21.790900310027414,-2.790900310027416,-15.505001722374534,1.2106055727793008,2.4444444444444446
202684,2025-03,6,4,0.6666666666666666,0.5135308729952133,8.0,6.162370475942559,1.8376295240574412,30.62715873429069,1.0270617459904265,2.0
