team_id,attempts,made_shots,actual_fg_pct,expected_fg_pct,actual_points,expected_points,points_above_expected,points_above_expected_per_100_shots,avg_expected_shot_value,avg_shot_value
1610612737,1450,720,0.496551724137931,0.4833227796798905,1684.0,1640.0041260536523,43.99587394634767,3.034198203196391,1.1310373283128636,2.442758620689655
1610612738,1426,666,0.4670406732117812,0.4405404876031422,1612.0,1534.6530680310887,77.34693196891139,5.424048525169102,1.0761942973570047,2.5406732117812063
1610612739,1571,753,0.47931253978357735,0.47088571056454787,1764.0,1741.7756407144889,22.22435928551108,1.41466322632152,1.108705054560464,2.4602164226607255
1610612740,1385,632,0.4563176895306859,0.4663323621960133,1441.0,1477.443364404738,-36.44336440473809,-2.6312898487175516,1.0667461114835655,2.3790613718411553
1610612741,1466,724,0.49386084583901774,0.47990394411853043,1686.0,1633.8572082686705,52.14279173132951,3.556807075806924,1.1145001420659417,2.4242837653478855
1610612742,1267,628,0.4956590370955012,0.48896761383629256,1398.0,1392.2852650434181,5.714734956581954,0.45104459010118025,1.0988833978243238,2.3291239147592737
1610612743,1406,708,0.5035561877667141,0.478814839182923,1598.0,1534.2393478591782,63.7606521408217,4.534897022818044,1.0912086400136403,2.369132290184922
1610612744,1467,673,0.45875937286980234,0.4422992375189231,1617.0,1558.9065099242066,58.09349007579335,3.960019773401046,1.0626492910185457,2.492842535787321
1610612745,1513,724,0.47851949768671515,0.4664093661841555,1678.0,1623.3466558635055,54.65334413649454,3.6122501081622302,1.0729323568165932,2.3919365499008594
1610612746,1374,710,0.5167394468704513,0.47975851477664216,1637.0,1500.6407527368804,136.35924726311964,9.924253803720498,1.0921693979162157,2.3602620087336246
1610612747,1540,737,0.4785714285714286,0.4647273242690516,1754.0,1687.9329708671885,66.06702913281148,4.2900668268059405,1.0960603706929795,2.459090909090909
1610612748,1498,736,0.49132176234979974,0.4749714300681945,1697.0,1627.5680503478795,69.43194965212041,4.634976612291082,1.0864940255993856,2.378504672897196
1610612749,1427,721,0.5052557813594954,0.4772013311577878,1681.0,1580.7275306165216,100.2724693834785,7.026802339416853,1.107727771980744,2.4197617379117027
1610612750,1334,661,0.4955022488755622,0.48885453003760526,1538.0,1520.316558225443,17.683441774557068,1.3255953354240682,1.139667584876644,2.442278860569715
1610612751,1399,603,0.43102215868477484,0.44576325244806664,1440.0,1486.3966040287103,-46.396604028710236,-3.3164120106297523,1.06247076771173,2.4832022873481057
1610612752,1502,712,0.474034620505992,0.49687774862518375,1632.0,1698.5365305069774,-66.53653050697743,-4.429862217508484,1.1308498871551116,2.376830892143808
1610612753,1381,644,0.4663287472845764,0.4526045242487984,1497.0,1449.4570237446362,47.54297625536377,3.44264853405965,1.049570618207557,2.4120202751629254
1610612754,1647,796,0.4833029751062538,0.4706680902973363,1844.0,1799.715477443467,44.284522556532906,2.6887991837603464,1.0927234228557785,2.4153005464480874
1610612755,1517,687,0.45286750164798945,0.4753666926105157,1597.0,1684.1233421581458,-87.12334215814586,-5.743133959007637,1.1101670020818364,2.4429795649307846
1610612756,1414,661,0.46746817538896746,0.4424428824315222,1559.0,1486.30413293721,72.69586706279004,5.141150428768744,1.051134464594915,2.454738330975955
1610612757,1411,618,0.4379872430900071,0.4554022254516614,1443.0,1515.5843805456163,-72.5843805456164,-5.144180052843119,1.0741207516269429,2.4514528703047485
1610612758,1564,754,0.4820971867007673,0.449512589112225,1741.0,1624.213614423308,116.78638557669206,7.467160203113303,1.0384997534675882,2.3906649616368285
1610612759,1607,746,0.4642190416925949,0.47015059287506156,1767.0,1777.632624456144,-10.632624456143944,-0.6616443345453605,1.106180849070407,2.449906658369633
1610612760,1481,732,0.49426063470627957,0.4734487459192782,1711.0,1624.8784477025315,86.12155229746853,5.815094685852027,1.097149525795092,2.410533423362593
1610612761,1522,675,0.44349540078843624,0.4700837339446625,1555.0,1648.1285086418698,-93.12850864186986,-6.118824483697099,1.08287024220885,2.3915900131406045
1610612762,1448,635,0.43853591160220995,0.42657139831603613,1497.0,1480.84291096308,16.15708903692013,1.1158210660856445,1.0226815683446684,2.4709944751381214
1610612763,1478,700,0.4736129905277402,0.4578406214229601,1632.0,1581.507519390306,50.492480609694006,3.416270677245873,1.0700321511436441,2.4242219215155614
1610612764,1507,664,0.44061048440610484,0.44166810031950704,1549.0,1562.000024912726,-13.000024912726083,-0.8626426617601913,1.0364963668963012,2.438619774386198
1610612765,1357,649,0.4782608695652174,0.482412442291183,1494.0,1495.9657028048987,-1.9657028048986354,-0.144856507361727,1.1024065606520992,2.383198231392778
1610612766,1460,654,0.44794520547945205,0.45878991152381804,1515.0,1548.4413032684354,-33.44130326843542,-2.2905002238654397,1.0605762351153667,2.4054794520547946
